"category","condition","z_score","overall_z_score"
"growthPhase","exponential",-13.9274712194355,-2.78231820109489
"growthPhase","late_stationary",-2.29550269702936,-2.78231820109489
"growthPhase","stationary",3.12730055371087,-2.78231820109489
"carbonSource","gluconate",-0.37044862873918,0.182153602544741
"carbonSource","glucose",1.72375958523367,0.182153602544741
"carbonSource","glycerol",-1.29616451584019,0.182153602544741
"carbonSource","lactate",-2.54297174663729,0.182153602544741
"Mg_mM_Levels","baseMg",-2.19890672481208,-0.763991575152678
"Mg_mM_Levels","highMg",-0.927270163391238,-0.763991575152678
"Mg_mM_Levels","lowMg",1.51200009864932,-0.763991575152678
"Na_mM_Levels","baseNa",-0.699342802353787,-0.068854932584683
"Na_mM_Levels","highNa",0.803400992004623,-0.068854932584683
"batchNumber","10",-1.2949434815681,-0.133455138545273
"batchNumber","11",-0.392493650191396,-0.133455138545273
"batchNumber","12",0.0391102260304951,-0.133455138545273
"batchNumber","13",0.179844531088183,-0.133455138545273
"batchNumber","14",0.837367936576509,-0.133455138545273
"batchNumber","15",0.27211743021643,-0.133455138545273
"batchNumber","16",-2.35523551869039,-0.133455138545273
"batchNumber","17",-0.538239651093125,-0.133455138545273
"batchNumber","18",0.613720886173829,-0.133455138545273
"batchNumber","19",-1.60431699047442,-0.133455138545273
"batchNumber","20",0.62339905766317,-0.133455138545273
"batchNumber","21",0.598077486602407,-0.133455138545273
"batchNumber","22",-0.762376124796906,-0.133455138545273
"batchNumber","23",-0.64972816488748,-0.133455138545273
"batchNumber","24",-0.902957942519148,-0.133455138545273
"batchNumber","25",1.59803062020373,-0.133455138545273
"batchNumber","26",-0.196952526106857,-0.133455138545273
"batchNumber","27",0.909162716227511,-0.133455138545273
"batchNumber","7",-0.869963774131717,-0.133455138545273
"batchNumber","8",-0.209356312437864,-0.133455138545273
"batchNumber","9",-1.66310179685743,-0.133455138545273
