"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-1.27","exponential","-0.82",56
"growthPhase","-1.27","stationary","0.23",37
"growthPhase","-1.27","late_stationary","-0.08",12
"carbonSource","-2.79","glucose","-2.33",66
"carbonSource","-2.79","glycerol","1.35",27
"carbonSource","-2.79","lactate","-2.73",6
"carbonSource","-2.79","gluconate","-2.64",6
"Mg_mM_Levels","-0.50","lowMg","0.85",6
"Mg_mM_Levels","-0.50","baseMg","-0.44",87
"Mg_mM_Levels","-0.50","highMg","-0.42",12
"Na_mM_Levels","-1.74","baseNa","-0.94",94
"Na_mM_Levels","-1.74","highNa","-5.61",11
"batchNumber","-20.54","7","-2.34",9
"batchNumber","-20.54","8","-3.03",9
"batchNumber","-20.54","9","-2.91",9
"batchNumber","-20.54","10","-2.37",9
"batchNumber","-20.54","11","-1.53",9
"batchNumber","-20.54","12","-3.79",9
"batchNumber","-20.54","14","-4.45",8
"batchNumber","-20.54","15","-4.36",7
"batchNumber","-20.54","16","-0.90",2
"batchNumber","-20.54","17","-0.94",2
"batchNumber","-20.54","18","-0.95",2
"batchNumber","-20.54","19","-0.91",2
"batchNumber","-20.54","20","-0.92",2
"batchNumber","-20.54","21","-0.90",2
"batchNumber","-20.54","22","-2.42",8
"batchNumber","-20.54","23","-2.70",8
"batchNumber","-20.54","24","-0.18",8
